"Gene_ID","logFC","logCPM","F","PValue","FDR","Regulation"
"Akt1",-2.46897028457393,12.720154355823,55.8697740639652,1.68822434881406e-13,1.68822434881406e-11,"Down"
"Npas4",-2.47732342134013,12.2050831704585,53.3863804211869,5.59486575835633e-13,2.79743287917816e-11,"Down"
"Gapdh",2.46636013689774,14.8745516815228,49.7506115121457,3.25531716307993e-12,1.08510572102664e-10,"Up"
"Egr1",-2.17392881916175,12.8801294056165,44.9667345177622,3.34617444304504e-11,8.36543610761259e-10,"Down"
"Mapk3",-2.14588492949151,13.2870853231303,44.3541343948567,4.51457662038993e-11,8.44773564222805e-10,"Down"
"Pik3ca",-2.14515236242707,12.9741858526845,44.0450322228531,5.25156774129149e-11,8.44773564222805e-10,"Down"
"Arc",-2.35364661345647,11.471411110981,43.8024966987959,5.91341494955963e-11,8.44773564222805e-10,"Down"
"Camk2b",2.1010656795429,13.9113033282879,40.9261479707996,2.42420547090579e-10,3.03025683863224e-09,"Up"
"Syp",2.14500017133204,15.1550022183264,37.3936119844316,1.38265825745441e-09,1.53628695272712e-08,"Up"
"Pik3r1",-2.02128040840194,11.8539012782542,35.6948925329585,3.20504044395245e-09,3.20504044395245e-08,"Down"
"Ntrk2",-1.88040234988243,12.7810728373191,34.2928160719277,6.42637990100703e-09,5.84216354637003e-08,"Down"
"Dlg4",1.84690488080485,13.8419742081095,32.4030839555766,1.64565617826387e-08,1.37138014855322e-07,"Up"
"Mapk1",-1.80756417330489,12.7662109635708,31.8280089493848,2.1922290319564e-08,1.68633002458185e-07,"Down"
"Camk2a",1.82086483425214,13.831367338457,31.5550686691443,2.51213888768093e-08,1.79438491977209e-07,"Up"
"Grin1",1.90504160382928,14.8337501002311,31.1378725706743,3.09403553740558e-08,2.06269035827039e-07,"Up"
"Fos",-1.76442513707487,12.6064580731786,30.0894638838612,5.22657889569269e-08,3.26661180980793e-07,"Down"
"Jun",-1.71385075723671,13.2555664871943,29.2866271196647,7.8142428805544e-08,4.59661345914965e-07,"Down"
"Grin2b",1.84122132202245,15.1613354125668,28.1198035804744,1.40360096284872e-07,7.79778312693731e-07,"Up"
"Akt2",-1.73276620571115,11.7337471994486,26.4329920179921,3.28125922964772e-07,1.72697854191985e-06,"Down"
"Actb",1.58033002660108,13.3185559557359,25.0249644626997,6.68231746759878e-07,3.34115873379939e-06,"Up"
"Bdnf",1.65034901842508,14.820229988704,23.8056633875738,1.23944363486065e-06,5.90211254695549e-06,"Up"
"Grin2a",1.52545964384464,14.7581669331018,20.6341408816393,6.23735082307019e-06,2.8351594650319e-05,"Up"
"Syn1",1.45602750325098,11.9271583473425,19.5342529407042,1.09605456643989e-05,4.76545463669519e-05,"Up"
"Creb1",1.37971172890083,14.0437111735876,18.3112014438835,2.0562052102167e-05,8.56752170923626e-05,"Up"
"Vegfa",0.743982826527743,12.3663486308083,5.56078520458227,0.0185588793474438,0.0742355173897751,"Not significant"
"Grm5",-0.718986191742696,12.6067301397479,5.3020730813065,0.0215046506707819,0.0827101948876228,"Not significant"
"Nos1",-0.621691981808596,13.2865367178501,4.0575689394516,0.0442411162971726,0.156130071779271,"Not significant"
"Htr1a",0.629245924673222,12.4768199737026,4.03066320293082,0.0449490065600853,0.156130071779271,"Not significant"
"Grm1",-0.619636713122878,12.9682773607057,4.01832087415079,0.0452777208159887,0.156130071779271,"Not significant"
"Gria2",0.598731025836204,12.3707357117005,3.62035554914193,0.0573636831816454,0.191212277272151,"Not significant"
"Egfr",-0.512647692892665,12.5482801007644,2.69944896027058,0.100697301388052,0.324830004477587,"Not significant"
"Ppp1ca",0.508825494139854,13.9832958282843,2.59333285861233,0.107629892433671,0.336343413855223,"Not significant"
"Slc1a3",0.493428071785183,12.5332706173845,2.49813462816625,0.114297457575351,0.346355932046517,"Not significant"
"Adora2a",-0.435898670629529,13.2397531503486,2.00803245168985,0.15677959250022,0.45757571069822,"Not significant"
"Prkca",0.43212115147373,13.5624749471765,1.93647105282852,0.164361675722694,0.45757571069822,"Not significant"
"Slc32a1",-0.430976576556661,13.5106644559548,1.93251477518907,0.164792917877683,0.45757571069822,"Not significant"
"Bcl2",0.432090561747756,13.8622481031834,1.89183593555558,0.169303012958341,0.45757571069822,"Not significant"
"Socs3",0.429775536833011,14.0875408938122,1.83343587629417,0.176028163429186,0.463232009024174,"Not significant"
"Raf1",-0.413997264243543,13.8029257001793,1.7457293038971,0.186716747321291,0.471643547859061,"Not significant"
"Mapk14",-0.408720091204834,12.6546185141884,1.73043073093769,0.188657419143624,0.471643547859061,"Not significant"
"Casp3",0.41172342227587,11.9717867997214,1.65135720505753,0.199071863156669,0.485541129650413,"Not significant"
"Ppp3ca",-0.390380498821018,14.0047122052328,1.52451250539716,0.217227935083406,0.517209369246205,"Not significant"
"Mdm2",0.370617190891066,13.1198839441689,1.45184306453575,0.228517517632032,0.531436087516354,"Not significant"
"Casp8",-0.371086737674482,12.1192531678029,1.36611977180236,0.242758225987857,0.547644543131055,"Not significant"
"Foxo3",-0.357609587203026,12.9375147364039,1.34494820285252,0.246440044408975,0.547644543131055,"Not significant"
"Keap1",-0.35770715308459,13.8719703832508,1.29612973045014,0.25519405263477,0.554769679640805,"Not significant"
"Camk4",-0.34526509105034,13.7045533429323,1.22454414785251,0.26873682710324,0.566351810203182,"Not significant"
"Rela",-0.338338792845587,13.0376838715465,1.20872760644162,0.271848868897527,0.566351810203182,"Not significant"
"Tnf",-0.321292145386879,12.6832934371219,1.07413687812055,0.300263436742458,0.611205747479219,"Not significant"
"Sod1",0.326747078472333,14.1990495679883,1.0506606132063,0.305602873739609,0.611205747479219,"Not significant"
"Cdkn1a",0.307020247002148,13.5017829472756,0.982989965773705,0.321701580510096,0.625309793287353,"Not significant"
"Prkcg",0.297699291583507,13.1928748091541,0.93819026607924,0.332977895711706,0.625309793287353,"Not significant"
"Il6",0.302257473319144,12.473324654947,0.934251245285462,0.333994367298545,0.625309793287353,"Not significant"
"Htr2a",0.299328616951421,13.7173001433968,0.920150627456059,0.337667288375171,0.625309793287353,"Not significant"
"Jak2",-0.28145681324659,13.460649854494,0.829062296430809,0.362763233908353,0.659569516197005,"Not significant"
"Chrm1",-0.272593188889777,13.2274757940691,0.787681338997462,0.375015564088916,0.662973586448864,"Not significant"
"Ppp3cb",-0.272606844247529,12.6449358190886,0.771428784278002,0.379986388225667,0.662973586448864,"Not significant"
"Nr4a1",-0.281740073384524,14.513508579485,0.756850640383497,0.384524680140341,0.662973586448864,"Not significant"
"Oprm1",0.260429801578782,14.1468924380596,0.671656651759164,0.412669899115072,0.699440506974698,"Not significant"
"Ccl2",-0.241408799506135,13.3418795525105,0.614995667857746,0.433098746798862,0.713449223584536,"Not significant"
"Nos2",-0.251315430042167,11.874052792835,0.609385477820084,0.435204026386567,0.713449223584536,"Not significant"
"Slc17a7",-0.233526550128599,12.4928662726979,0.560492079797456,0.454238091781458,0.728235120653909,"Not significant"
"Slc6a1",-0.225650107277639,13.882187768057,0.515928005559076,0.472751645438941,0.728235120653909,"Not significant"
"Cxcl10",-0.221013273995443,12.4747264981932,0.501284834005205,0.479101107681772,0.728235120653909,"Not significant"
"Mapk8",-0.218637166412857,12.6325259330558,0.495514221587077,0.481641669939242,0.728235120653909,"Not significant"
"Gria1",0.213764566484681,13.081633380096,0.483402966548177,0.487046468495512,0.728235120653909,"Not significant"
"Hmox1",-0.220507543403481,12.087240221778,0.481471855018695,0.487917530838119,0.728235120653909,"Not significant"
"Casp9",-0.205756776775039,13.1930138059163,0.448718884870434,0.503098608317495,0.739850894584552,"Not significant"
"Gsk3b",0.184397074686285,12.8055392189011,0.356398862645302,0.550648185040153,0.79804084788428,"Not significant"
"Atg5",0.168964257551008,12.6434900674984,0.296647326380689,0.586113353083965,0.810460899070981,"Not significant"
"Trp53",0.167315776298192,13.6975764526278,0.288368640365549,0.591387300859199,0.810460899070981,"Not significant"
"Prkcb",-0.165628036634022,12.6918407524608,0.285846035657542,0.593013717732821,0.810460899070981,"Not significant"
"Drd1",-0.155286274524486,12.889961044727,0.253765852345138,0.614546772562747,0.810460899070981,"Not significant"
