"Gene_ID","edgeR_logFC","edgeR_FDR","DESeq2_logFC","DESeq2_FDR","edgeR_significant","DESeq2_significant","Consensus"
"Akt1",-2.46897028457393,1.68822434881406e-11,-2.47992104120128,1.60268391803103e-15,TRUE,TRUE,TRUE
"Npas4",-2.47732342134013,2.79743287917816e-11,-2.49298058802591,1.02917633514779e-05,TRUE,TRUE,TRUE
"Gapdh",2.46636013689774,1.08510572102664e-10,2.45645716003378,4.42143505084299e-13,TRUE,TRUE,TRUE
"Egr1",-2.17392881916175,8.36543610761259e-10,-2.18587594506073,4.106335493467e-15,TRUE,TRUE,TRUE
"Mapk3",-2.14588492949151,8.44773564222805e-10,-2.14547245685013,2.0473669038648e-09,TRUE,TRUE,TRUE
"Pik3ca",-2.14515236242707,8.44773564222805e-10,-2.15905700495464,1.75274078228806e-09,TRUE,TRUE,TRUE
"Arc",-2.35364661345647,8.44773564222805e-10,-2.3737646767197,7.46509830390005e-10,TRUE,TRUE,TRUE
"Camk2b",2.1010656795429,3.03025683863224e-09,2.08713826649527,4.42143505084299e-13,TRUE,TRUE,TRUE
"Syp",2.14500017133204,1.53628695272712e-08,2.13830504780523,7.74886807246934e-12,TRUE,TRUE,TRUE
"Pik3r1",-2.02128040840194,3.20504044395245e-08,-2.03821148758878,1.10120187453556e-11,TRUE,TRUE,TRUE
"Ntrk2",-1.88040234988243,5.84216354637003e-08,-1.88242134617333,5.49771246332891e-08,TRUE,TRUE,TRUE
"Dlg4",1.84690488080485,1.37138014855322e-07,1.84539780772595,1.23037523883513e-08,TRUE,TRUE,TRUE
"Mapk1",-1.80756417330489,1.68633002458185e-07,-1.81936007116483,1.36325943775249e-08,TRUE,TRUE,TRUE
"Camk2a",1.82086483425214,1.79438491977209e-07,1.82362106684897,1.15180579819383e-07,TRUE,TRUE,TRUE
"Grin1",1.90504160382928,2.06269035827039e-07,1.89948262101514,1.90528303904261e-08,TRUE,TRUE,TRUE
"Fos",-1.76442513707487,3.26661180980793e-07,-1.78136043596591,4.30193532139139e-08,TRUE,TRUE,TRUE
"Jun",-1.71385075723671,4.59661345914965e-07,-1.72050337855744,1.2137383556173e-09,TRUE,TRUE,TRUE
"Grin2b",1.84122132202245,7.79778312693731e-07,1.83029718485727,1.77309046219448e-07,TRUE,TRUE,TRUE
"Akt2",-1.73276620571115,1.72697854191985e-06,-1.74437400839246,4.31157776138338e-08,TRUE,TRUE,TRUE
"Actb",1.58033002660108,3.34115873379939e-06,1.587948395155,6.0600777236067e-06,TRUE,TRUE,TRUE
"Bdnf",1.65034901842508,5.90211254695549e-06,1.64410237840713,5.71879643906395e-08,TRUE,TRUE,TRUE
"Grin2a",1.52545964384464,2.8351594650319e-05,1.50719677669518,1.37897345460168e-06,TRUE,TRUE,TRUE
"Syn1",1.45602750325098,4.76545463669519e-05,1.4524219140206,1.28600194237745e-05,TRUE,TRUE,TRUE
"Creb1",1.37971172890083,8.56752170923626e-05,1.37578265040606,0.000119951600877847,TRUE,TRUE,TRUE
"Vegfa",0.743982826527743,0.0742355173897751,0.735278295543503,0.063155749161105,FALSE,FALSE,FALSE
"Grm5",-0.718986191742696,0.0827101948876228,-0.725386254995214,0.0598239558382863,FALSE,FALSE,FALSE
"Nos1",-0.621691981808596,0.156130071779271,-0.642498196246133,0.222740658552306,FALSE,FALSE,FALSE
"Htr1a",0.629245924673222,0.156130071779271,0.622226621367866,0.119349690796099,FALSE,FALSE,FALSE
"Grm1",-0.619636713122878,0.156130071779271,-0.640934332525789,0.16002068095178,FALSE,FALSE,FALSE
"Gria2",0.598731025836204,0.191212277272151,0.585345002259929,0.144591683717114,FALSE,FALSE,FALSE
"Egfr",-0.512647692892665,0.324830004477587,-0.507221032752329,0.298976780825475,FALSE,FALSE,FALSE
"Ppp1ca",0.508825494139854,0.336343413855223,0.502867214694137,0.138811558778961,FALSE,FALSE,FALSE
"Slc1a3",0.493428071785183,0.346355932046517,0.484240837452683,0.30419069062256,FALSE,FALSE,FALSE
"Adora2a",-0.435898670629529,0.45757571069822,-0.450812662281633,0.30419069062256,FALSE,FALSE,FALSE
"Prkca",0.43212115147373,0.45757571069822,0.423762770956754,0.237082254860824,FALSE,FALSE,FALSE
"Slc32a1",-0.430976576556661,0.45757571069822,-0.426983437135013,0.390579256639887,FALSE,FALSE,FALSE
"Bcl2",0.432090561747756,0.45757571069822,0.428876101771798,0.359985658955198,FALSE,FALSE,FALSE
"Socs3",0.429775536833011,0.463232009024174,0.42276874596595,0.478697209604492,FALSE,FALSE,FALSE
"Raf1",-0.413997264243543,0.471643547859061,-0.421310460239466,0.400807973074109,FALSE,FALSE,FALSE
"Mapk14",-0.408720091204834,0.471643547859061,-0.410791278494702,0.478697209604492,FALSE,FALSE,FALSE
"Casp3",0.41172342227587,0.485541129650413,0.401061193648492,0.478697209604492,FALSE,FALSE,FALSE
"Ppp3ca",-0.390380498821018,0.517209369246205,-0.391879949409285,0.574319893891309,FALSE,FALSE,FALSE
"Mdm2",0.370617190891066,0.531436087516354,0.361947124624523,0.414485745148227,FALSE,FALSE,FALSE
"Casp8",-0.371086737674482,0.547644543131055,-0.385630740971596,0.468984229410989,FALSE,FALSE,FALSE
"Foxo3",-0.357609587203026,0.547644543131055,-0.35890574478426,0.507254200533874,FALSE,FALSE,FALSE
"Keap1",-0.35770715308459,0.554769679640805,-0.360880708540259,0.602519060083444,FALSE,FALSE,FALSE
"Camk4",-0.34526509105034,0.566351810203182,-0.349028392661127,0.507254200533874,FALSE,FALSE,FALSE
"Rela",-0.338338792845587,0.566351810203182,-0.349942228962435,0.478697209604492,FALSE,FALSE,FALSE
"Tnf",-0.321292145386879,0.611205747479219,-0.324253009150633,0.446190177284019,FALSE,FALSE,FALSE
"Sod1",0.326747078472333,0.611205747479219,0.336948043178428,0.602519060083444,FALSE,FALSE,FALSE
"Cdkn1a",0.307020247002148,0.625309793287353,0.303887871674437,0.602519060083444,FALSE,FALSE,FALSE
"Prkcg",0.297699291583507,0.625309793287353,0.289136501624107,0.571791345307092,FALSE,FALSE,FALSE
"Il6",0.302257473319144,0.625309793287353,0.30128553120597,0.701259044200199,FALSE,FALSE,FALSE
"Htr2a",0.299328616951421,0.625309793287353,0.292984182073717,0.571791345307092,FALSE,FALSE,FALSE
"Jak2",-0.28145681324659,0.659569516197005,-0.283373967045772,0.611947273995746,FALSE,FALSE,FALSE
"Chrm1",-0.272593188889777,0.662973586448864,-0.274159745503911,0.478697209604492,FALSE,FALSE,FALSE
"Ppp3cb",-0.272606844247529,0.662973586448864,-0.286152347524814,0.610305963383614,FALSE,FALSE,FALSE
"Nr4a1",-0.281740073384524,0.662973586448864,-0.292363874230453,0.602519060083444,FALSE,FALSE,FALSE
"Oprm1",0.260429801578782,0.699440506974698,0.258680710346902,0.646554483455307,FALSE,FALSE,FALSE
"Ccl2",-0.241408799506135,0.713449223584536,-0.246189690729359,0.696846037871485,FALSE,FALSE,FALSE
"Nos2",-0.251315430042167,0.713449223584536,-0.251377405523846,0.731845241349276,FALSE,FALSE,FALSE
"Slc17a7",-0.233526550128599,0.728235120653909,-0.243838602081264,0.696846037871485,FALSE,FALSE,FALSE
"Slc6a1",-0.225650107277639,0.728235120653909,-0.244967011474456,0.757957959017871,FALSE,FALSE,FALSE
"Cxcl10",-0.221013273995443,0.728235120653909,-0.239043793204131,0.701259044200199,FALSE,FALSE,FALSE
"Mapk8",-0.218637166412857,0.728235120653909,-0.2366329366831,0.74239797162051,FALSE,FALSE,FALSE
"Gria1",0.213764566484681,0.728235120653909,0.215142760721015,0.731845241349276,FALSE,FALSE,FALSE
"Hmox1",-0.220507543403481,0.728235120653909,-0.237509572447246,0.678050042630032,FALSE,FALSE,FALSE
"Casp9",-0.205756776775039,0.739850894584552,-0.214329741524202,0.701259044200199,FALSE,FALSE,FALSE
"Gsk3b",0.184397074686285,0.79804084788428,0.183213871839893,0.757957959017871,FALSE,FALSE,FALSE
"Atg5",0.168964257551008,0.810460899070981,0.168196767746156,0.787415489433211,FALSE,FALSE,FALSE
"Trp53",0.167315776298192,0.810460899070981,0.163678392418842,0.764579846489212,FALSE,FALSE,FALSE
"Prkcb",-0.165628036634022,0.810460899070981,-0.164694372442562,0.787415489433211,FALSE,FALSE,FALSE
"Drd1",-0.155286274524486,0.810460899070981,-0.160400514802982,0.787415489433211,FALSE,FALSE,FALSE
"Gpx1",0.159302439879405,0.810460899070981,0.146481961491455,0.829508066423856,FALSE,FALSE,FALSE
"Foxo1",0.155231306255585,0.810460899070981,0.150653167826123,0.804493250780719,FALSE,FALSE,FALSE
"Hif1a",0.149065833307607,0.810460899070981,0.140253212585552,0.826076239086811,FALSE,FALSE,FALSE
"Drd2",-0.149444292845283,0.810460899070981,-0.150786820266849,0.804493250780719,FALSE,FALSE,FALSE
"Map2k2",0.144517963569696,0.810460899070981,0.143730589852745,0.804493250780719,FALSE,FALSE,FALSE
"Sos1",-0.140183749652208,0.810460899070981,-0.143810331494936,0.804493250780719,FALSE,FALSE,FALSE
"Nfkb1",0.138864810991573,0.810460899070981,0.139364665363152,0.804493250780719,FALSE,FALSE,FALSE
"Grb2",0.137389689734479,0.810460899070981,0.137592877497894,0.829508066423856,FALSE,FALSE,FALSE
"Rps6kb1",0.133309968358427,0.813216105929245,0.125063567242923,0.804493250780719,FALSE,FALSE,FALSE
"Ptgs2",0.129075653708507,0.813216105929245,0.121896086445069,0.847802833938341,FALSE,FALSE,FALSE
"Cat",0.128327056221753,0.813216105929245,0.126946815021925,0.826076239086811,FALSE,FALSE,FALSE
"Calm3",0.116335479938003,0.828417670332674,0.104041651462761,0.881385920016201,FALSE,FALSE,FALSE
"Mtor",-0.113290372104589,0.828417670332674,-0.122274465231143,0.83677297195213,FALSE,FALSE,FALSE
"Calm1",0.102079712050532,0.85042878932574,0.0923096451973144,0.857872199582695,FALSE,FALSE,FALSE
"Gad2",0.0993908153277562,0.85156051017348,0.0940352255702228,0.881385920016201,FALSE,FALSE,FALSE
"Il1b",0.0648744126370123,0.935931331849014,0.0637050434577477,0.940565981470208,FALSE,FALSE,FALSE
"Chrna7",-0.0599825950148425,0.935931331849014,-0.0553205043737993,0.952520015172408,FALSE,FALSE,FALSE
"Calm2",0.0574462100530269,0.935931331849014,0.0496950873084483,0.95461051893438,FALSE,FALSE,FALSE
"Nfe2l2",0.0509774012926786,0.945973559140424,0.0576431180446473,0.95020195117633,FALSE,FALSE,FALSE
"Map2k1",0.0406158639834505,0.963330050230127,0.036830616312463,0.95461051893438,FALSE,FALSE,FALSE
"Slc1a2",0.0343393221254421,0.963330050230127,0.0327303361904733,0.95461051893438,FALSE,FALSE,FALSE
"Sod2",0.0328147306616154,0.963330050230127,0.0242889818687521,0.97224770288759,FALSE,FALSE,FALSE
