"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014069","postsynaptic density","12/24","496/25804",0.0241935483870968,26.0120967741936,17.1617389368932,4.89110978939913e-15,7.58122017356865e-13,2.78020977502687e-13,"Grin1/Syp/Gapdh/Mapk1/Ntrk2/Grin2b/Syn1/Grin2a/Camk2b/Arc/Dlg4/Camk2a",12
"GO:0044306","neuron projection terminus","8/24","242/25804",0.0330578512396694,35.5426997245179,16.4727387440893,3.44397080679015e-11,2.30663903101288e-09,8.45898184548016e-10,"Grin1/Syp/Actb/Ntrk2/Grin2b/Bdnf/Grin2a/Dlg4",8
"GO:0044309","neuron spine","8/24","250/25804",0.032,34.4053333333333,16.1940559099224,4.46446264067008e-11,2.30663903101288e-09,8.45898184548016e-10,"Grin1/Syp/Ntrk2/Grin2b/Grin2a/Arc/Dlg4/Camk2a",8
"GO:0043195","terminal bouton","6/24","99/25804",0.0606060606060606,65.1616161616162,19.5156649560612,3.48122508584289e-10,1.34897472076412e-08,4.94700406935569e-09,"Grin1/Syp/Ntrk2/Grin2b/Bdnf/Grin2a",6
"GO:0060076","excitatory synapse","6/24","114/25804",0.0526315789473684,56.5877192982456,18.1488242429807,8.21134726925768e-10,2.2073662682813e-08,8.09492553393482e-09,"Grin1/Syp/Ntrk2/Grin2b/Grin2a/Dlg4",6
"GO:0043679","axon terminus","7/24","218/25804",0.0321100917431193,34.5237003058104,15.166251867198,8.54464361915342e-10,2.2073662682813e-08,8.09492553393482e-09,"Grin1/Syp/Actb/Ntrk2/Grin2b/Bdnf/Grin2a",7
"GO:0043197","dendritic spine","7/24","245/25804",0.0285714285714286,30.7190476190476,14.2608452293979,1.92556586891837e-09,4.26375299546211e-08,1.56361739731717e-08,"Grin1/Ntrk2/Grin2b/Grin2a/Arc/Dlg4/Camk2a",7
"GO:0008021","synaptic vesicle","7/24","317/25804",0.0220820189274448,23.7418506834911,12.4306930023453,1.14351085064572e-08,2.21555227312609e-07,8.12494551774594e-08,"Grin1/Syp/Grin2b/Syn1/Bdnf/Grin2a/Dlg4",7
"GO:0070382","exocytic vesicle","7/24","334/25804",0.0209580838323353,22.5334331337325,12.0856858877645,1.6377298771387e-08,2.82053478840553e-07,1.03435571187707e-07,"Grin1/Syp/Grin2b/Syn1/Bdnf/Grin2a/Dlg4",7
"GO:0008328","ionotropic glutamate receptor complex","4/24","45/25804",0.0888888888888889,95.5703703703704,19.3729658435897,8.35715089255123e-08,1.29535838834544e-06,4.75038050734491e-07,"Grin1/Grin2b/Grin2a/Dlg4",4
"GO:0150034","distal axon","7/24","437/25804",0.0160183066361556,17.22234935164,10.4356421770563,1.0276623818106e-07,1.44806971982403e-06,5.3104084801696e-07,"Grin1/Syp/Actb/Ntrk2/Grin2b/Bdnf/Grin2a",7
"GO:0030133","transport vesicle","7/24","472/25804",0.0148305084745763,15.9452683615819,9.99860111490786,1.73288871603002e-07,2.23831459153877e-06,8.20842023382641e-07,"Grin1/Syp/Grin2b/Syn1/Bdnf/Grin2a/Dlg4",7
"GO:0048786","presynaptic active zone","5/24","143/25804",0.034965034965035,37.5932400932401,13.3884826792359,1.90246652023799e-07,2.26534789360785e-06,8.30755764039553e-07,"Grin1/Syp/Ntrk2/Grin2b/Syn1",5
"GO:0098878","neurotransmitter receptor complex","4/24","56/25804",0.0714285714285714,76.797619047619,17.325153559367,2.04612067809742e-07,2.26534789360785e-06,8.30755764039553e-07,"Grin1/Grin2b/Grin2a/Dlg4",4
"GO:0098839","postsynaptic density membrane","5/24","168/25804",0.0297619047619048,31.9990079365079,12.2991916886826,4.23751706579439e-07,4.37876763465421e-06,1.60579594072209e-06,"Grin1/Grin2b/Grin2a/Arc/Dlg4",5
"GO:0099634","postsynaptic specialization membrane","5/24","209/25804",0.0239234449760766,25.7216905901116,10.9489635070559,1.2459160619217e-06,1.20698118498665e-05,4.42628074630079e-06,"Grin1/Grin2b/Grin2a/Arc/Dlg4",5
"GO:0045211","postsynaptic membrane","6/24","417/25804",0.0143884892086331,15.4700239808153,9.0893086743948,1.80734293941722e-06,1.64787150358629e-05,6.04312809464582e-06,"Grin1/Ntrk2/Grin2b/Grin2a/Arc/Dlg4",6
"GO:0120111","neuron projection cytoplasm","4/24","118/25804",0.0338983050847458,36.4463276836158,11.7750640486126,4.1136033875041e-06,3.54226958368409e-05,1.29903264868551e-05,"Mapk1/Arc/Dlg4/Camk2a",4
"GO:0032839","dendrite cytoplasm","3/24","45/25804",0.0666666666666667,71.6777777777778,14.4785112866461,9.77682227605086e-06,7.9758286988836e-05,2.92492189976037e-05,"Mapk1/Dlg4/Camk2a",3
