"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","15/21","224/11212",0.0669642857142857,35.7525510204082,22.7587680246866,9.83863467128882e-22,1.79063151017457e-19,2.27842066071952e-20,"14281/14810/18706/11651/26417/26413/16476/14812/18708/12064/14811/11652/12323/12912/12322",15
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","11/21","121/11212",0.0909090909090909,48.5367965367965,22.7737537281464,4.68843131116681e-17,4.2664724931618e-15,5.42870993924578e-16,"18706/11651/26417/26413/16476/18212/18708/12064/11652/12323/12322",11
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","9/21","69/11212",0.130434782608696,69.639751552795,24.774024273005,2.04379611746227e-15,1.15478730480839e-13,1.46936499165903e-14,"14281/14810/16476/14812/14811/12323/12912/11838/12322",9
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","10/21","114/11212",0.087719298245614,46.8337510442774,21.3065357287435,2.53799407650196e-15,1.15478730480839e-13,1.46936499165903e-14,"14281/18706/11651/26417/26413/18708/11652/12323/12912/12322",10
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","9/21","84/11212",0.107142857142857,57.2040816326531,22.3973334715757,1.3084718659308e-14,4.7628375919881e-13,6.06029074746895e-14,"18706/11651/26417/26413/16476/18708/11652/12323/12322",9
"Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","9/21","100/11212",0.09,48.0514285714286,20.4726505461178,6.65697562259159e-14,2.01928260551945e-12,2.56935901222833e-13,"14281/14810/26417/26413/14812/14811/12323/12912/12322",9
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","11/21","237/11212",0.0464135021097046,24.780389793048,16.0283291882622,8.74799137261183e-14,2.27447775687908e-12,2.8940723337964e-13,"14810/18706/11651/26417/26413/18212/14812/18708/12064/14811/11652",11
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","9/21","117/11212",0.0769230769230769,41.0695970695971,18.8730299311646,2.84291707712188e-13,6.21765265291544e-12,7.9114145959595e-13,"18706/11651/26417/14433/26413/18708/11652/12323/12322",9
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","9/21","118/11212",0.076271186440678,40.7215496368039,18.7897274993158,3.07466339979335e-13,6.21765265291544e-12,7.9114145959595e-13,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
"Human Diseases","Cancer: specific types","mmu05214","Glioma","8/21","75/11212",0.106666666666667,56.9498412698413,21.059243025573,5.18480849035351e-13,9.43635145244338e-12,1.20069249250292e-12,"18706/11651/26417/26413/18708/11652/12323/12322",8
"Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway","9/21","131/11212",0.0687022900763359,36.680479825518,17.7940264683335,8.02771491113368e-13,1.24073388841147e-11,1.57872443869591e-12,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","9/21","132/11212",0.0681818181818182,36.4025974025974,17.7235039961495,8.60673067845363e-13,1.24073388841147e-11,1.57872443869591e-12,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
