"Gene_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation","ENTREZID"
"Actb",169.987334381331,1.587948395155,0.327818717801667,4.84398330212407,1.27261632195741e-06,6.0600777236067e-06,"Up","11461"
"Gapdh",502.882619408638,2.45645716003378,0.320417583130031,7.66642434549823,1.7685740203372e-14,4.42143505084299e-13,"Up","14433"
"Bdnf",483.3887386741,1.64410237840713,0.28665323054268,5.7355096793941,9.72195394640871e-09,5.71879643906395e-08,"Up","12064"
"Camk2a",242.937674483347,1.82362106684897,0.325311136749876,5.60577508986762,2.07325043674889e-08,1.15180579819383e-07,"Up","12322"
"Camk2b",256.057361587463,2.08713826649527,0.272231120325464,7.66678792637668,1.76357009867158e-14,4.42143505084299e-13,"Up","12323"
"Creb1",281.676690890933,1.37578265040606,0.328910751892083,4.18284486746562,2.87883842106834e-05,0.000119951600877847,"Up","12912"
"Grin1",490.038108486679,1.89948262101514,0.318546148307096,5.96297469333686,2.4768679507554e-09,1.90528303904261e-08,"Up","14810"
"Grin2a",460.77295443295,1.50719677669518,0.293270084300438,5.13927896972657,2.75794690920335e-07,1.37897345460168e-06,"Up","14811"
"Grin2b",613.124273711993,1.83029718485727,0.331509615884453,5.52109832462661,3.36887187816951e-08,1.77309046219448e-07,"Up","14812"
"Dlg4",244.512472025087,1.84539780772595,0.304474635729926,6.06092459328156,1.35341276271864e-09,1.23037523883513e-08,"Up","13385"
"Syn1",63.183505423666,1.4524219140206,0.310763012628595,4.67372838786465,2.95780446746813e-06,1.28600194237745e-05,"Up","20964"
"Syp",610.787651319403,2.13830504780523,0.294537378982597,7.25987667572604,3.87443403623467e-13,7.74886807246934e-12,"Up","20977"
"Mapk1",115.664269518164,-1.81936007116483,0.301699892946939,-6.03036366169611,1.63591132530299e-09,1.36325943775249e-08,"Down","26413"
"Mapk3",165.873310520536,-2.14547245685013,0.337458074574933,-6.35774520894959,2.0473669038648e-10,2.0473669038648e-09,"Down","26417"
"Akt1",111.869843888135,-2.47992104120128,0.291088239323084,-8.51948208889597,1.60268391803103e-17,1.60268391803103e-15,"Down","11651"
"Akt2",55.5041992180376,-1.74437400839246,0.300536458976781,-5.80420097558689,6.46736664207506e-09,4.31157776138338e-08,"Down","11652"
"Pik3ca",133.833239000566,-2.15905700495464,0.337474542746219,-6.39768851121388,1.57746670405926e-10,1.75274078228806e-09,"Down","18706"
"Pik3r1",60.6179834354039,-2.03821148758878,0.283584082202784,-7.187326847673,6.60721124721337e-13,1.10120187453556e-11,"Down","18708"
"Ntrk2",116.590905659736,-1.88242134617333,0.32723864289214,-5.75244210016416,8.79633994132625e-09,5.49771246332891e-08,"Down","18212"
"Egr1",125.106847746046,-2.18587594506073,0.262468881341095,-8.32813373490949,8.212670986934e-17,4.106335493467e-15,"Down","13653"
"Fos",103.11292721456,-1.78136043596591,0.306279549594484,-5.81612594874336,6.02270944994794e-09,4.30193532139139e-08,"Down","14281"
"Jun",162.47034805354,-1.72050337855744,0.265862626701453,-6.47139991018542,9.70990684493838e-11,1.2137383556173e-09,"Down","16476"
"Arc",45.8656697263709,-2.3737646767197,0.361613853502405,-6.56436321155464,5.22556881273003e-11,7.46509830390005e-10,"Down","11838"
"Npas4",78.0284657043049,-2.49298058802591,0.527247833893819,-4.72828986250128,2.26418793732513e-06,1.02917633514779e-05,"Down","225872"
"Nr4a1",392.082104923625,-0.292363874230453,0.300994292896664,-0.971326969082518,0.331385483045894,0.602519060083444,"Not significant","15370"
"Gsk3b",118.550630763289,0.183213871839893,0.286835628322654,0.638741682514418,0.522990991722331,0.757957959017871,"Not significant","56637"
"Mtor",145.962484696717,-0.122274465231143,0.320574327537909,-0.381423135689752,0.702889296439789,0.83677297195213,"Not significant","56717"
"Rps6kb1",104.97331843683,0.125063567242923,0.262664548987077,0.476134170847227,0.633978794167158,0.804493250780719,"Not significant","72508"
"Foxo1",76.9514636712373,0.150653167826123,0.316595284281743,0.475854111876329,0.634178315991364,0.804493250780719,"Not significant","56458"
"Foxo3",129.652907755269,-0.35890574478426,0.305440232252835,-1.17504410645932,0.239977070374203,0.507254200533874,"Not significant","56484"
"Il6",93.7344817168487,0.30128553120597,0.393976719264107,0.764729275802715,0.444432769522187,0.701259044200199,"Not significant","16193"
"Tnf",108.666594209764,-0.324253009150633,0.240997515136304,-1.34546204332124,0.178476070913608,0.446190177284019,"Not significant","21926"
"Il1b",44.3503683815075,0.0637050434577477,0.309850100615828,0.20559955711208,0.837103723508485,0.940565981470208,"Not significant","16176"
"Nfkb1",139.804186427574,0.139364665363152,0.294061571459508,0.473930220366597,0.635549668116768,0.804493250780719,"Not significant","18033"
"Rela",139.764512504086,-0.349942228962435,0.279243505848418,-1.25317947108283,0.210140399267393,0.478697209604492,"Not significant","19697"
"Stat3",121.226702308564,-0.0189451305905059,0.278589096673979,-0.0680038480209318,0.945782571100144,0.97224770288759,"Not significant","20848"
"Jak2",188.171054187613,-0.283373967045772,0.302459105417574,-0.936900103088471,0.348809946177575,0.611947273995746,"Not significant","16452"
"Socs3",288.729628079575,0.42276874596595,0.343461829422195,1.23090460059906,0.218358546739433,0.478697209604492,"Not significant","12702"
"Cxcl10",93.5453265373421,-0.239043793204131,0.307718822654926,-0.776825386051193,0.437261797167876,0.701259044200199,"Not significant","15945"
"Ccl2",172.234585544203,-0.246189690729359,0.307931198219584,-0.799495770979991,0.424002997860386,0.696846037871485,"Not significant","20296"
"Bax",90.9630079941719,-0.0177159456336568,0.338389145609533,-0.0523537644853986,0.958246814154974,0.97224770288759,"Not significant","12028"
"Bcl2",248.807474200463,0.428876101771798,0.282955509052224,1.51570154335692,0.129594837223871,0.359985658955198,"Not significant","12043"
"Casp3",65.5714100015797,0.401061193648492,0.321363537547003,1.24799844036392,0.212031628351962,0.478697209604492,"Not significant","12367"
"Casp8",72.9194611260705,-0.385630740971596,0.295762321565163,-1.30385350957097,0.192283534058505,0.468984229410989,"Not significant","12370"
"Casp9",155.557984558002,-0.214329741524202,0.282978123273171,-0.757407459789037,0.448805788288127,0.701259044200199,"Not significant","12371"
"Trp53",221.441721022802,0.163678392418842,0.263963847651339,0.62007882471481,0.535205892542448,0.764579846489212,"Not significant","22059"
"Mdm2",147.85915560543,0.361947124624523,0.258617604358956,1.39954557819717,0.161649440607809,0.414485745148227,"Not significant","17246"
"Cdkn1a",192.517716366289,0.303887871674437,0.30868419756816,0.984462029700551,0.324888392000994,0.602519060083444,"Not significant","12575"
"Atg5",105.727564137005,0.168196767746156,0.291667324276543,0.576673332068837,0.564160150714269,0.787415489433211,"Not significant","11793"
"Becn1",191.342445771349,-0.0122363142399858,0.26043052842775,-0.046984945712232,0.962525225858714,0.97224770288759,"Not significant","56208"
"Vegfa",86.7370626230634,0.735278295543503,0.306438381724174,2.39943277146441,0.0164204947818873,0.063155749161105,"Not significant","22339"
"Hif1a",127.212976450205,0.140253212585552,0.325621530668113,0.430724627753513,0.666668609411883,0.826076239086811,"Not significant","15251"
"Egfr",98.6823597697793,-0.507221032752329,0.30715101129583,-1.65137347460596,0.0986623376724066,0.298976780825475,"Not significant","13649"
"Grb2",120.307207044272,0.137592877497894,0.338455046906455,0.406532207912157,0.684351596804786,0.829508066423856,"Not significant","14784"
"Sos1",180.849143908703,-0.143810331494936,0.291956359165161,-0.492574752973891,0.622313090774538,0.804493250780719,"Not significant","20662"
"Raf1",239.019534243419,-0.421310460239466,0.294328381304269,-1.4314299503585,0.152307029768162,0.400807973074109,"Not significant","110157"
"Map2k1",91.8019886326096,0.036830616312463,0.27659691856858,0.133156278468558,0.894069787584829,0.95461051893438,"Not significant","26395"
"Map2k2",98.236622473581,0.143730589852745,0.275017888289501,0.522622694642486,0.601236844228553,0.804493250780719,"Not significant","26396"
