Gene_ID,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Case_1,Case_2,Case_3,Case_4,Case_5,Case_6
Actb,30,49,99,137,83,111,301,360,259,311,138,252
Gapdh,65,293,168,98,106,197,954,1120,589,791,1010,930
Bdnf,142,179,205,302,238,338,904,963,639,377,957,791
Camk2a,104,126,187,81,53,88,224,472,609,521,255,322
Camk2b,122,127,76,89,118,52,417,381,512,442,604,275
Creb1,200,70,113,147,147,260,247,514,412,687,512,225
Grin1,269,277,74,231,252,143,1124,711,717,1227,452,689
Grin2a,176,301,267,249,235,207,600,528,850,374,1307,639
Grin2b,347,202,212,214,339,290,1013,1081,353,595,1319,1660
Dlg4,100,168,76,158,60,83,641,251,281,544,357,358
Syn1,25,27,23,58,30,41,128,80,50,86,151,92
Syp,147,130,135,264,244,433,1066,1035,1023,1023,967,1180
Mapk1,217,157,69,205,231,202,42,48,78,64,37,54
Mapk3,146,282,187,514,181,331,39,101,85,35,52,74
Akt1,262,144,203,129,192,200,24,49,22,28,46,46
Akt2,99,52,61,82,92,125,16,38,32,26,32,18
Pik3ca,431,161,77,156,230,255,55,34,59,62,51,49
Pik3r1,74,145,64,98,103,101,29,23,28,31,27,13
Ntrk2,264,180,172,192,164,129,32,90,31,83,63,20
Egr1,317,198,134,209,213,160,47,50,40,36,58,54
Fos,213,106,173,118,192,148,45,23,83,43,57,42
Jun,202,293,155,372,175,310,74,93,85,81,99,49
Arc,103,71,87,50,36,113,7,13,21,15,29,9
Npas4,48,80,184,111,239,119,22,10,10,26,19,60
Nr4a1,384,636,309,432,439,390,456,190,401,356,210,600
Gsk3b,113,131,90,150,111,73,132,123,100,145,72,222
Mtor,173,254,124,124,132,106,87,99,210,240,82,166
Rps6kb1,103,145,73,100,94,88,122,148,159,71,96,97
Foxo1,52,75,71,42,72,122,121,94,89,116,42,54
Foxo3,160,56,128,245,169,118,108,109,74,158,147,125
Il6,62,42,155,44,78,115,124,84,171,103,27,142
Tnf,160,95,97,134,110,129,91,123,63,112,109,114
Il1b,41,76,46,52,18,29,44,55,49,67,44,30
Nfkb1,169,116,87,150,130,147,223,206,193,150,71,90
Rela,102,271,115,168,156,129,132,97,175,150,91,132
Stat3,72,180,175,90,113,97,118,90,129,147,134,143
Jak2,248,169,287,128,258,135,134,279,102,196,153,213
Socs3,192,212,197,465,146,284,470,129,460,316,523,197
Cxcl10,80,151,108,100,89,79,89,42,64,94,169,85
Ccl2,195,73,169,304,250,130,228,136,188,124,179,142
Bax,64,100,73,87,122,100,40,84,173,127,109,41
Bcl2,208,227,191,222,219,203,374,465,247,119,257,343
Casp3,59,61,25,57,64,73,96,73,74,112,97,25
Casp8,55,138,64,70,56,113,69,73,52,51,101,55
Casp9,78,120,162,186,188,263,110,166,139,169,185,144
Trp53,174,198,284,227,241,122,250,299,190,176,241,321
Mdm2,114,115,116,91,133,202,259,163,139,175,175,145
Cdkn1a,121,138,178,296,185,119,228,287,326,136,264,109
Atg5,104,141,105,83,45,120,78,144,86,157,95,149
Becn1,200,235,266,195,123,133,165,306,193,161,191,192
Vegfa,91,73,62,53,75,35,50,129,99,163,154,94
Hif1a,117,55,47,144,162,199,132,158,130,108,141,173
Egfr,114,129,187,141,76,48,79,106,82,124,59,69
Grb2,72,150,128,190,101,50,154,130,174,75,70,189
Sos1,273,153,146,189,185,192,276,159,88,272,191,112
Raf1,373,422,273,119,185,264,231,248,232,187,152,242
Map2k1,116,117,67,121,73,53,153,78,107,97,78,77
