"Gene_ID","edgeR_logFC","edgeR_FDR","DESeq2_logFC","DESeq2_FDR","edgeR_significant","DESeq2_significant","Consensus"
"Akt1",-2.46897028457393,1.68822434881406e-11,-2.47992104120128,1.60268391803103e-15,TRUE,TRUE,TRUE
"Npas4",-2.47732342134013,2.79743287917816e-11,-2.49298058802591,1.02917633514779e-05,TRUE,TRUE,TRUE
"Gapdh",2.46636013689774,1.08510572102664e-10,2.45645716003378,4.42143505084299e-13,TRUE,TRUE,TRUE
"Egr1",-2.17392881916175,8.36543610761259e-10,-2.18587594506073,4.106335493467e-15,TRUE,TRUE,TRUE
"Mapk3",-2.14588492949151,8.44773564222805e-10,-2.14547245685013,2.0473669038648e-09,TRUE,TRUE,TRUE
"Pik3ca",-2.14515236242707,8.44773564222805e-10,-2.15905700495464,1.75274078228806e-09,TRUE,TRUE,TRUE
"Arc",-2.35364661345647,8.44773564222805e-10,-2.3737646767197,7.46509830390005e-10,TRUE,TRUE,TRUE
"Camk2b",2.1010656795429,3.03025683863224e-09,2.08713826649527,4.42143505084299e-13,TRUE,TRUE,TRUE
"Syp",2.14500017133204,1.53628695272712e-08,2.13830504780523,7.74886807246934e-12,TRUE,TRUE,TRUE
"Pik3r1",-2.02128040840194,3.20504044395245e-08,-2.03821148758878,1.10120187453556e-11,TRUE,TRUE,TRUE
"Ntrk2",-1.88040234988243,5.84216354637003e-08,-1.88242134617333,5.49771246332891e-08,TRUE,TRUE,TRUE
"Dlg4",1.84690488080485,1.37138014855322e-07,1.84539780772595,1.23037523883513e-08,TRUE,TRUE,TRUE
"Mapk1",-1.80756417330489,1.68633002458185e-07,-1.81936007116483,1.36325943775249e-08,TRUE,TRUE,TRUE
"Camk2a",1.82086483425214,1.79438491977209e-07,1.82362106684897,1.15180579819383e-07,TRUE,TRUE,TRUE
"Grin1",1.90504160382928,2.06269035827039e-07,1.89948262101514,1.90528303904261e-08,TRUE,TRUE,TRUE
"Fos",-1.76442513707487,3.26661180980793e-07,-1.78136043596591,4.30193532139139e-08,TRUE,TRUE,TRUE
"Jun",-1.71385075723671,4.59661345914965e-07,-1.72050337855744,1.2137383556173e-09,TRUE,TRUE,TRUE
"Grin2b",1.84122132202245,7.79778312693731e-07,1.83029718485727,1.77309046219448e-07,TRUE,TRUE,TRUE
"Akt2",-1.73276620571115,1.72697854191985e-06,-1.74437400839246,4.31157776138338e-08,TRUE,TRUE,TRUE
"Actb",1.58033002660108,3.34115873379939e-06,1.587948395155,6.0600777236067e-06,TRUE,TRUE,TRUE
"Bdnf",1.65034901842508,5.90211254695549e-06,1.64410237840713,5.71879643906395e-08,TRUE,TRUE,TRUE
"Grin2a",1.52545964384464,2.8351594650319e-05,1.50719677669518,1.37897345460168e-06,TRUE,TRUE,TRUE
"Syn1",1.45602750325098,4.76545463669519e-05,1.4524219140206,1.28600194237745e-05,TRUE,TRUE,TRUE
"Creb1",1.37971172890083,8.56752170923626e-05,1.37578265040606,0.000119951600877847,TRUE,TRUE,TRUE
