"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048168","regulation of neuronal synaptic plasticity","11/24","80/25615",0.1375,146.752604166667,39.9847219662854,3.25251437967434e-22,5.73093033698618e-19,1.98232192192783e-19,"Grin1/Syp/Grin2b/Syn1/Bdnf/Grin2a/Camk2b/Arc/Egr1/Dlg4/Camk2a",11
"GO:0048167","regulation of synaptic plasticity","15/24","400/25615",0.0375,40.0234375,24.0894412852851,7.0926153590912e-22,6.24859413135935e-19,2.16138120679674e-19,"Grin1/Syp/Npas4/Mapk1/Ntrk2/Grin2b/Syn1/Bdnf/Grin2a/Camk2b/Creb1/Arc/Egr1/Dlg4/Camk2a",15
"GO:0048169","regulation of long-term neuronal synaptic plasticity","8/24","39/25615",0.205128205128205,218.931623931624,41.7096880719257,9.68648127176257e-18,5.68919333361522e-15,1.96788514257913e-15,"Grin1/Syp/Grin2b/Bdnf/Grin2a/Camk2b/Egr1/Dlg4",8
"GO:0007611","learning or memory","11/24","367/25615",0.0299727520435967,31.9896684831971,18.3120584857806,9.50559771352377e-15,4.18721579280722e-12,1.44835291477112e-12,"Fos/Grin1/Npas4/Jun/Ntrk2/Grin2b/Bdnf/Grin2a/Creb1/Arc/Egr1",11
"GO:0050890","cognition","11/24","415/25615",0.0265060240963855,28.2896586345382,17.1641608644466,3.65612644533253e-14,1.28841895933518e-11,4.4566257091527e-12,"Fos/Grin1/Npas4/Jun/Ntrk2/Grin2b/Bdnf/Grin2a/Creb1/Arc/Egr1",11
"GO:0007613","memory","9/24","185/25615",0.0486486486486487,51.9222972972973,21.2873385544706,5.2347725513395e-14,1.53727820591003e-11,5.3174268547817e-12,"Fos/Grin1/Npas4/Ntrk2/Grin2b/Grin2a/Creb1/Arc/Egr1",9
"GO:0007612","learning","9/24","212/25615",0.0424528301886792,45.3095518867925,19.8391691073939,1.80400631040413e-13,4.5409415984744e-11,1.57070624620149e-11,"Fos/Grin1/Npas4/Jun/Ntrk2/Grin2b/Bdnf/Grin2a/Creb1",9
"GO:0071375","cellular response to peptide hormone stimulus","10/24","384/25615",0.0260416666666667,27.7940538194444,16.2008388015573,8.30063994231038e-13,1.82821594729386e-10,6.3237770086812e-11,"Fos/Pik3ca/Akt1/Mapk3/Mapk1/Jun/Pik3r1/Akt2/Creb1/Camk2a",10
"GO:0032868","response to insulin","9/24","331/25615",0.027190332326284,29.0200151057402,15.7130381950222,9.93816344084596e-12,1.94567155364118e-09,6.73005454064305e-10,"Fos/Pik3ca/Akt1/Mapk3/Mapk1/Jun/Pik3r1/Akt2/Egr1",9
"GO:0050806","positive regulation of synaptic transmission","9/24","338/25615",0.0266272189349112,28.4190088757396,15.5398933209337,1.1980655918429e-11,2.11099157282719e-09,7.30189450186356e-10,"Grin1/Mapk1/Ntrk2/Grin2b/Grin2a/Camk2b/Creb1/Arc/Dlg4",9
"GO:0060079","excitatory postsynaptic potential","7/24","136/25615",0.0514705882352941,54.9341299019608,19.3126840958835,3.26673944321364e-11,5.23272263540221e-09,1.80999247619205e-09,"Grin1/Npas4/Ntrk2/Grin2b/Bdnf/Grin2a/Dlg4",7
"GO:0051402","neuron apoptotic process","9/24","389/25615",0.0231362467866324,24.6931233933162,14.4202774445699,4.18920664753952e-11,6.15115176080386e-09,2.12767600782928e-09,"Grin1/Pik3ca/Akt1/Gapdh/Jun/Ntrk2/Bdnf/Akt2/Egr1",9
"GO:0018105","peptidyl-serine phosphorylation","7/24","147/25615",0.0476190476190476,50.8234126984127,18.552199824954,5.66181569391471e-11,7.67019441510503e-09,2.65311103790299e-09,"Akt1/Mapk3/Mapk1/Ntrk2/Bdnf/Camk2b/Camk2a",7
"GO:0018209","peptidyl-serine modification","7/24","149/25615",0.0469798657718121,50.1412192393736,18.4229591619914,6.22859025036788e-11,7.67019441510503e-09,2.65311103790299e-09,"Akt1/Mapk3/Mapk1/Ntrk2/Bdnf/Camk2b/Camk2a",7
"GO:0099565","chemical synaptic transmission, postsynaptic","7/24","150/25615",0.0466666666666667,49.8069444444444,18.3592993812662,6.52967742489077e-11,7.67019441510503e-09,2.65311103790299e-09,"Grin1/Npas4/Ntrk2/Grin2b/Bdnf/Grin2a/Dlg4",7
"GO:1990778","protein localization to cell periphery","9/24","419/25615",0.0214797136038186,22.9251193317422,13.8574676197173,8.09985197503665e-11,8.91996198750911e-09,3.08540414049094e-09,"Grin1/Akt1/Actb/Pik3r1/Grin2a/Akt2/Camk2b/Dlg4/Camk2a",9
"GO:0035235","ionotropic glutamate receptor signaling pathway","5/24","34/25615",0.147058823529412,156.954656862745,27.8663278416343,1.264627626016e-10,1.31074933943541e-08,4.53386622577872e-09,"Grin1/Grin2b/Grin2a/Dlg4/Camk2a",5
"GO:0060078","regulation of postsynaptic membrane potential","7/24","183/25615",0.0382513661202186,40.825364298725,16.5575372060772,2.64429923904455e-10,2.58847514399805e-08,8.95350444097541e-09,"Grin1/Npas4/Ntrk2/Grin2b/Bdnf/Grin2a/Dlg4",7
"GO:1990806","ligand-gated ion channel signaling pathway","5/24","40/25615",0.125,133.411458333333,25.66542370148,2.9794561132926e-10,2.76305351137977e-08,9.55736891743167e-09,"Grin1/Grin2b/Grin2a/Dlg4/Camk2a",5
"GO:0007616","long-term memory","5/24","43/25615",0.116279069767442,124.103682170543,24.7413628354573,4.35055399460075e-10,3.83283806924326e-08,1.32577408572307e-08,"Grin1/Npas4/Ntrk2/Arc/Egr1",5
"GO:0099173","postsynapse organization","8/24","339/25615",0.023598820058997,25.1868239921337,13.7285672367705,5.30041513105426e-10,4.44730069567505e-08,1.53831597036612e-08,"Grin1/Akt1/Actb/Grin2b/Grin2a/Camk2b/Arc/Dlg4",8
"GO:0097305","response to alcohol","8/24","344/25615",0.0232558139534884,24.8207364341085,13.6214671168025,5.9496475095532e-10,4.76512677810579e-08,1.64825163063699e-08,"Fos/Grin1/Akt1/Npas4/Jun/Grin2b/Grin2a/Creb1",8
"GO:1905475","regulation of protein localization to membrane","7/24","207/25615",0.0338164251207729,36.0919887278583,15.5241778166599,6.26283025331432e-10,4.79787256797384e-08,1.65957836003158e-08,"Pik3ca/Akt1/Actb/Pik3r1/Camk2b/Dlg4/Camk2a",7
"GO:0014044","Schwann cell development","5/24","47/25615",0.106382978723404,113.541666666667,23.6490983649154,6.91564498333622e-10,4.87414658425537e-08,1.68596145067439e-08,"Akt1/Mapk3/Mapk1/Ntrk2/Akt2",5
"GO:2000463","positive regulation of excitatory postsynaptic potential","5/24","47/25615",0.106382978723404,113.541666666667,23.6490983649154,6.91564498333622e-10,4.87414658425537e-08,1.68596145067439e-08,"Grin1/Ntrk2/Grin2b/Grin2a/Dlg4",5
"GO:0048511","rhythmic process","8/24","357/25615",0.0224089635854342,23.9169000933707,13.3533796030591,7.97091895596306e-10,5.40183046169497e-08,1.86848667024397e-08,"Grin1/Jun/Ntrk2/Grin2b/Bdnf/Grin2a/Creb1/Egr1",8
"GO:0097061","dendritic spine organization","6/24","119/25615",0.0504201680672269,53.813025210084,17.6839466387325,1.11271769765019e-09,7.26151327133199e-08,2.51174872101154e-08,"Grin1/Grin2b/Grin2a/Camk2b/Arc/Dlg4",6
"GO:0014037","Schwann cell differentiation","5/24","53/25615",0.0943396226415094,100.687893081761,22.2476237828116,1.28898003955594e-09,8.11136724891986e-08,2.80571219136424e-08,"Akt1/Mapk3/Mapk1/Ntrk2/Akt2",5
"GO:0048009","insulin-like growth factor receptor signaling pathway","5/24","55/25615",0.0909090909090909,97.0265151515152,21.8319628393617,1.560626502903e-09,9.48215137281067e-08,3.27986477379615e-08,"Pik3ca/Akt1/Mapk3/Mapk1/Pik3r1",5
"GO:0106027","neuron projection organization","6/24","131/25615",0.0458015267175573,48.8835877862595,16.8263232592523,1.98952472941261e-09,1.16851419107501e-07,4.04187655554352e-08,"Grin1/Grin2b/Grin2a/Camk2b/Arc/Dlg4",6
"GO:0060291","long-term synaptic potentiation","7/24","250/25615",0.028,29.8841666666667,14.0544258430692,2.33009035639922e-09,1.3243932928953e-07,4.58106049696145e-08,"Mapk1/Ntrk2/Grin2b/Grin2a/Camk2b/Creb1/Arc",7
"GO:0050807","regulation of synapse organization","8/24","412/25615",0.0194174757281553,20.7241100323625,12.360060597117,2.45774304289556e-09,1.35329476299437e-07,4.68103033498857e-08,"Grin1/Akt1/Grin2b/Pik3r1/Bdnf/Camk2b/Arc/Dlg4",8
"GO:0050803","regulation of synapse structure or activity","8/24","421/25615",0.0190023752969121,20.2810768012668,12.2158717616141,2.91110314511073e-09,1.53936220150858e-07,5.3246353705327e-08,"Grin1/Akt1/Grin2b/Pik3r1/Bdnf/Camk2b/Arc/Dlg4",8
"GO:0008306","associative learning","6/24","140/25615",0.0428571428571429,45.7410714285714,16.2560114542611,2.97039244331963e-09,1.53936220150858e-07,5.3246353705327e-08,"Fos/Grin1/Grin2b/Bdnf/Grin2a/Creb1",6
"GO:0007215","glutamate receptor signaling pathway","5/24","68/25615",0.0735294117647059,78.4773284313725,19.5911456950924,4.63894738425485e-09,2.33537865458773e-07,8.07804672325882e-08,"Grin1/Grin2b/Grin2a/Dlg4/Camk2a",5
"GO:0033002","muscle cell proliferation","7/24","282/25615",0.024822695035461,26.4930555555556,13.1826836433557,5.36558322380286e-09,2.62615490009462e-07,9.08383826485923e-08,"Fos/Pik3ca/Akt1/Mapk1/Jun/Pik3r1/Egr1",7
"GO:0009314","response to radiation","8/24","475/25615",0.0168421052631579,17.9754385964912,11.436308632939,7.47273498637628e-09,3.55863757999865e-07,1.23092846575018e-07,"Fos/Grin1/Akt1/Pik3r1/Grin2a/Akt2/Creb1/Egr1",8
"GO:0098815","modulation of excitatory postsynaptic potential","5/24","76/25615",0.0657894736842105,70.2165570175439,18.5061270699186,8.18105808518273e-09,3.79342745949789e-07,1.31214200313596e-07,"Grin1/Ntrk2/Grin2b/Grin2a/Dlg4",5
"GO:0008286","insulin receptor signaling pathway","6/24","168/25615",0.0357142857142857,38.1175595238095,14.7814301231858,8.88170402531473e-09,4.01270833143707e-07,1.38799099342975e-07,"Pik3ca/Akt1/Mapk3/Mapk1/Pik3r1/Akt2",6
"GO:0045471","response to ethanol","6/24","176/25615",0.0340909090909091,36.3849431818182,14.4253219230623,1.17331985218276e-08,5.16847394886507e-07,1.78776893266795e-07,"Fos/Grin1/Jun/Grin2b/Grin2a/Creb1",6
"GO:0007422","peripheral nervous system development","5/24","82/25615",0.0609756097560976,65.0787601626016,17.7979834570031,1.2037733653801e-08,5.17328943853596e-07,1.78943460476272e-07,"Akt1/Mapk3/Mapk1/Ntrk2/Akt2",5
"GO:0060080","inhibitory postsynaptic potential","4/24","30/25615",0.133333333333333,142.305555555556,23.7152577203219,1.59763705411156e-08,6.70246783177278e-07,2.31837557476339e-07,"Npas4/Grin2b/Bdnf/Grin2a",4
"GO:0043523","regulation of neuron apoptotic process","7/24","332/25615",0.0210843373493976,22.5031375502008,12.0769499802542,1.65221815025659e-08,6.77025204826071e-07,2.34182205385205e-07,"Grin1/Pik3ca/Akt1/Jun/Ntrk2/Bdnf/Egr1",7
"GO:0046777","protein autophosphorylation","6/24","189/25615",0.0317460317460317,33.8822751322751,13.8948682966501,1.79594994929795e-08,7.19196320605225e-07,2.4876914369462e-07,"Akt1/Mapk3/Jun/Ntrk2/Camk2b/Camk2a",6
"GO:0016358","dendrite development","7/24","343/25615",0.0204081632653061,21.781462585034,11.8659921928222,2.06658375503143e-08,8.09182350303417e-07,2.79895203313028e-07,"Grin1/Ntrk2/Bdnf/Camk2b/Arc/Dlg4/Camk2a",7
