"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035254","glutamate receptor binding","5/24","80/23791",0.0625,61.9557291666667,17.3540261600662,1.53095426168285e-08,2.66386041532816e-06,8.86341940974283e-07,"Grin1/Grin2b/Grin2a/Dlg4/Camk2a",5
"GO:0106310","protein serine kinase activity","7/24","366/23791",0.0191256830601093,18.9591302367942,11.0027615625931,5.32086049566748e-08,4.62914863123071e-06,1.54024909085111e-06,"Pik3ca/Akt1/Mapk3/Mapk1/Akt2/Camk2b/Camk2a",7
"GO:0022849","glutamate-gated calcium ion channel activity","3/24","10/23791",0.3,297.3875,29.7893128775664,1.07732380489415e-07,6.18711005908424e-06,2.05862706140129e-06,"Grin1/Grin2b/Grin2a",3
"GO:0019902","phosphatase binding","6/24","249/23791",0.0240963855421687,23.886546184739,11.5364958123412,1.42232415151362e-07,6.18711005908424e-06,2.05862706140129e-06,"Grin1/Akt1/Mapk3/Mapk1/Pik3r1/Dlg4",6
"GO:0004674","protein serine/threonine kinase activity","7/24","456/23791",0.0153508771929825,15.2171966374269,9.74110327330294,2.36927852266383e-07,8.24508925887013e-06,2.74337513150549e-06,"Pik3ca/Akt1/Mapk3/Mapk1/Akt2/Camk2b/Camk2a",7
"GO:0016595","glutamate binding","3/24","15/23791",0.2,198.258333333333,24.2843929501188,4.0713490658832e-07,1.18069122910613e-05,3.92849471269432e-06,"Grin1/Grin2b/Grin2a",3
"GO:0004970","glutamate-gated receptor activity","3/24","18/23791",0.166666666666667,165.215277777778,22.147437023238,7.28709275303761e-07,1.81136305575506e-05,6.02691881830178e-06,"Grin1/Grin2b/Grin2a",3
"GO:0005516","calmodulin binding","5/24","205/23791",0.024390243902439,24.1778455284553,10.5910375142188,1.68283799633938e-06,3.48061398904328e-05,1.1580990284173e-05,"Grin1/Akt1/Pik3r1/Camk2b/Camk2a",5
"GO:0099507","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","3/24","24/23791",0.125,123.911458333333,19.1437259310174,1.80031758053963e-06,3.48061398904328e-05,1.1580990284173e-05,"Grin1/Grin2b/Grin2a",3
"GO:0097110","scaffold protein binding","4/24","91/23791",0.043956043956044,43.5732600732601,12.9300168177338,2.00703302793236e-06,3.49223746860231e-05,1.16196648985558e-05,"Mapk3/Grin2b/Grin2a/Dlg4",4
"GO:0008066","glutamate receptor activity","3/24","26/23791",0.115384615384615,114.379807692308,18.381000187806,2.30960022025325e-06,3.65336762112787e-05,1.21557906329119e-05,"Grin1/Grin2b/Grin2a",3
"GO:0099604","ligand-gated calcium channel activity","3/24","30/23791",0.1,99.1291666666667,17.0899990953396,3.59699003935449e-06,5.21563555706402e-05,1.73538993126752e-05,"Grin1/Grin2b/Grin2a",3
"GO:0099186","structural constituent of postsynapse","3/24","31/23791",0.0967741935483871,95.9314516129032,16.8067372039641,3.97974586153622e-06,5.32673676851772e-05,1.77235645655459e-05,"Actb/Camk2b/Dlg4",3
"GO:1990782","protein tyrosine kinase binding","4/24","135/23791",0.0296296296296296,29.3716049382716,10.5049935754413,9.64706345839997e-06,0.000117047621051887,3.89450644758244e-05,"Ntrk2/Grin2b/Pik3r1/Grin2a",4
"GO:0098918","structural constituent of synapse","3/24","42/23791",0.0714285714285714,70.8065476190476,14.3884429821584,1.00903121596454e-05,0.000117047621051887,3.89450644758244e-05,"Actb/Camk2b/Dlg4",3
"GO:0001784","phosphotyrosine residue binding","3/24","47/23791",0.0638297872340425,63.2739361702128,13.5798184277932,1.42050281208624e-05,0.000154479680814378,5.13997728057519e-05,"Mapk3/Mapk1/Pik3r1",3
"GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","3/24","51/23791",0.0588235294117647,58.3112745098039,13.0196843739093,1.81953392232275e-05,0.000186234648520093,6.19655515342112e-05,"Grin1/Grin2b/Grin2a",3
"GO:0035255","ionotropic glutamate receptor binding","3/24","55/23791",0.0545454545454545,54.0704545454546,12.5212026433326,2.28615813805395e-05,0.000220995286678548,7.35314021011504e-05,"Grin1/Grin2b/Dlg4",3
"GO:0022824","transmitter-gated monoatomic ion channel activity","3/24","59/23791",0.0508474576271186,50.4046610169492,12.0737566580325,2.8253933214406e-05,0.000245809218965332,8.17877014101227e-05,"Grin1/Grin2b/Grin2a",3
"GO:0022835","transmitter-gated channel activity","3/24","59/23791",0.0508474576271186,50.4046610169492,12.0737566580325,2.8253933214406e-05,0.000245809218965332,8.17877014101227e-05,"Grin1/Grin2b/Grin2a",3
"GO:0045309","protein phosphorylated amino acid binding","3/24","63/23791",0.0476190476190476,47.2043650793651,11.6691271861021,3.44220144863582e-05,0.00027863290539996,9.27090731820799e-05,"Mapk3/Mapk1/Pik3r1",3
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","5/24","384/23791",0.0130208333333333,12.9074435763889,7.47527072422746,3.52294478091904e-05,0.00027863290539996,9.27090731820799e-05,"Fos/Jun/Actb/Pik3r1/Creb1",5
"GO:0016303","1-phosphatidylinositol-3-kinase activity","2/24","10/23791",0.2,198.258333333333,19.8260392539292,4.36718997698923e-05,0.000330387415650489,0.000109929267155335,"Pik3ca/Pik3r1",2
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity","3/24","71/23791",0.0422535211267606,41.8855633802817,10.9637084278942,4.92810730118937e-05,0.00034299626816278,0.000114124590132806,"Grin1/Grin2b/Grin2a",3
"GO:0016597","amino acid binding","3/24","71/23791",0.0422535211267606,41.8855633802817,10.9637084278942,4.92810730118937e-05,0.00034299626816278,0.000114124590132806,"Grin1/Grin2b/Grin2a",3
"GO:0030235","nitric-oxide synthase regulator activity","2/24","11/23791",0.181818181818182,180.234848484848,18.8942009186846,5.33438699515481e-05,0.000356993591214207,0.000118781896653245,"Akt1/Actb",2
"GO:0035497","cAMP response element binding","2/24","13/23791",0.153846153846154,152.50641025641,17.3632365467737,7.55580928662029e-05,0.000486929931804419,0.000162015403806673,"Jun/Creb1",2
"GO:0016594","glycine binding","2/24","14/23791",0.142857142857143,141.613095238095,16.7234900438365,8.8096787728286e-05,0.000528580726369716,0.000175873804902204,"Grin1/Grin2b",2
"GO:0043560","insulin receptor substrate binding","2/24","14/23791",0.142857142857143,141.613095238095,16.7234900438365,8.8096787728286e-05,0.000528580726369716,0.000175873804902204,"Pik3ca/Pik3r1",2
"GO:0030594","neurotransmitter receptor activity","3/24","91/23791",0.032967032967033,32.6799450549451,9.62158457304991,0.000103371464094084,0.00059955449174569,0.000199488790357005,"Grin1/Grin2b/Grin2a",3
"GO:0004707","MAP kinase activity","2/24","16/23791",0.125,123.911458333333,15.6281567622672,0.000116028467284058,0.000630904790857063,0.000209919924362604,"Mapk3/Mapk1",2
"GO:0005165","neurotrophin receptor binding","2/24","16/23791",0.125,123.911458333333,15.6281567622672,0.000116028467284058,0.000630904790857063,0.000209919924362604,"Pik3r1/Bdnf",2
"GO:0015171","amino acid transmembrane transporter activity","3/24","106/23791",0.0283018867924528,28.0554245283019,8.87127924128592,0.000162534364258062,0.000856999375178873,0.000285148007470284,"Grin1/Grin2b/Grin2a",3
"GO:0051219","phosphoprotein binding","3/24","111/23791",0.027027027027027,26.7916666666667,8.65497278220961,0.000186261173531803,0.000953218946898053,0.000317162988986043,"Mapk3/Mapk1/Pik3r1",3
"GO:0032794","GTPase activating protein binding","2/24","21/23791",0.0952380952380952,94.4087301587302,13.6081216627281,0.000202425113041756,0.00100634199055044,0.000334838532851025,"Akt1/Camk2a",2
"GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","2/24","22/23791",0.0909090909090909,90.1174242424242,13.2887511728345,0.000222530462128479,0.00107556390028765,0.000357870626230011,"Fos/Egr1",2
"GO:0052742","phosphatidylinositol kinase activity","2/24","24/23791",0.0833333333333333,82.6076388888889,12.7105665651568,0.000265553113273135,0.00123919319027845,0.00041231473360747,"Pik3ca/Pik3r1",2
