"SYMBOL","log2FoldChange","padj","STRING_id"
"Actb",1.587948395155,6.0600777236067e-06,"10090.ENSMUSP00000098066"
"Gapdh",2.45645716003378,4.42143505084299e-13,"10090.ENSMUSP00000113942"
"Bdnf",1.64410237840713,5.71879643906395e-08,"10090.ENSMUSP00000057989"
"Camk2a",1.82362106684897,1.15180579819383e-07,"10090.ENSMUSP00000099952"
"Camk2b",2.08713826649527,4.42143505084299e-13,"10090.ENSMUSP00000087925"
"Creb1",1.37578265040606,0.000119951600877847,"10090.ENSMUSP00000059973"
"Grin1",1.89948262101514,1.90528303904261e-08,"10090.ENSMUSP00000028335"
"Grin2a",1.50719677669518,1.37897345460168e-06,"10090.ENSMUSP00000142900"
"Grin2b",1.83029718485727,1.77309046219448e-07,"10090.ENSMUSP00000062284"
"Dlg4",1.84539780772595,1.23037523883513e-08,"10090.ENSMUSP00000104229"
"Syn1",1.4524219140206,1.28600194237745e-05,"10090.ENSMUSP00000080568"
"Syp",2.13830504780523,7.74886807246934e-12,"10090.ENSMUSP00000069429"
"Mapk1",-1.81936007116483,1.36325943775249e-08,"10090.ENSMUSP00000065983"
"Mapk3",-2.14547245685013,2.0473669038648e-09,"10090.ENSMUSP00000051619"
"Akt1",-2.47992104120128,1.60268391803103e-15,"10090.ENSMUSP00000001780"
"Akt2",-1.74437400839246,4.31157776138338e-08,"10090.ENSMUSP00000103981"
"Pik3ca",-2.15905700495464,1.75274078228806e-09,"10090.ENSMUSP00000029201"
"Pik3r1",-2.03821148758878,1.10120187453556e-11,"10090.ENSMUSP00000056774"
"Ntrk2",-1.88242134617333,5.49771246332891e-08,"10090.ENSMUSP00000078757"
"Egr1",-2.18587594506073,4.106335493467e-15,"10090.ENSMUSP00000069616"
"Fos",-1.78136043596591,4.30193532139139e-08,"10090.ENSMUSP00000021674"
"Jun",-1.72050337855744,1.2137383556173e-09,"10090.ENSMUSP00000102711"
"Arc",-2.3737646767197,7.46509830390005e-10,"10090.ENSMUSP00000023268"
"Npas4",-2.49298058802591,1.02917633514779e-05,"10090.ENSMUSP00000062992"
